Date;Year;Month;Area;Area.Type;Variable;Variable.Type;Generation (GWh);YoY change (%);YoY change (GWh);Cumul. Generation (GWh);Cumul. YoY change (%);Cumul. YoY change (GWh);;
ene-18;2018;1;Estonia;EU Country;Gas;Fossil;1;;;1;;;;
ene-18;2018;1;Estonia;EU Country;Other fossil;Fossil;859;;;859;;;;
ene-18;2018;1;Estonia;EU Country;Bioenergy;Renewables;52;;;52;;;;
ene-18;2018;1;Estonia;EU Country;Hydro;Renewables;2;;;2;;;;
ene-18;2018;1;Estonia;EU Country;Other renewables;Renewables;4;;;4;;;;
ene-18;2018;1;Estonia;EU Country;Solar;Renewables;1;;;1;;;;
ene-18;2018;1;Estonia;EU Country;Wind;Renewables;64;;;64;;;;
ene-18;2018;1;Estonia;EU Country;Waste;Waste;10;;;10;;;;
ene-18;2018;1;Finland;EU Country;Demand;Demand;8494;;;8494;;;;
ene-18;2018;1;Finland;EU Country;Production;Production;6986;;;6986;;;;
ene-18;2018;1;Finland;EU Country;Net imports;Net imports;1795;;;1795;;;;
ene-18;2018;1;Finland;EU Country;Statistical difference;Statistical difference;-288;;;-288;;;;
ene-18;2018;1;Finland;EU Country;Gas;Fossil;611;;;611;;;;
ene-18;2018;1;Finland;EU Country;Hard Coal;Fossil;667;;;667;;;;
ene-18;2018;1;Finland;EU Country;Other fossil;Fossil;568;;;568;;;;
ene-18;2018;1;Finland;EU Country;Bioenergy;Renewables;1165;;;1165;;;;
ene-18;2018;1;Finland;EU Country;Hydro;Renewables;1401;;;1401;;;;
ene-18;2018;1;Finland;EU Country;Other renewables;Renewables;31;;;31;;;;
ene-18;2018;1;Finland;EU Country;Wind;Renewables;453;;;453;;;;
ene-18;2018;1;Finland;EU Country;Nuclear;Nuclear;2075;;;2075;;;;
ene-18;2018;1;Finland;EU Country;Waste;Waste;15;;;15;;;;
ene-18;2018;1;France;EU Country;Demand;Demand;47677;;;47677;;;;
ene-18;2018;1;France;EU Country;Production;Production;54918;;;54918;;;;
ene-18;2018;1;France;EU Country;Net imports;Net imports;-7020;;;-7020;;;;
ene-18;2018;1;France;EU Country;Statistical difference;Statistical difference;-221;;;-221;;;;
ene-18;2018;1;France;EU Country;Gas;Fossil;2919;;;2919;;;;
ene-18;2018;1;France;EU Country;Hard Coal;Fossil;334;;;334;;;;
ene-18;2018;1;France;EU Country;Other fossil;Fossil;158;;;158;;;;
ene-18;2018;1;France;EU Country;Bioenergy;Renewables;211;;;211;;;;
ene-18;2018;1;France;EU Country;Hydro;Renewables;6505;;;6505;;;;
ene-18;2018;1;France;EU Country;Solar;Renewables;305;;;305;;;;
ene-18;2018;1;France;EU Country;Wind;Renewables;3652;;;3652;;;;
